id,class_id,class_name,task,sql_candidate,safe_rewrite,schema_scope,risk_labels,severity,language,source,manual_review,manual_reviewer,notes
golden_v2_0_tc-0001,1,Простой SELECT (1 таблица),Активные заявки initiator_id 7812.,"SELECT id, name__ru, create_date, status FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 ORDER BY create_date DESC LIMIT 100;","SELECT id, name__ru, create_date, status FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 ORDER BY create_date DESC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0002,1,Простой SELECT (1 таблица),COUNT scp_application за 1 квартал.,SELECT COUNT(*) AS app_count FROM scp_application WHERE initiator_id = $1 AND status = 1 AND create_date >= $2 AND create_date < $3 LIMIT 1;,SELECT COUNT(*) AS app_count FROM scp_application WHERE initiator_id = $1 AND status = 1 AND create_date >= $2 AND create_date < $3 LIMIT 1;,"[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0003,1,Простой SELECT (1 таблица),Группировка по сегменту и emp_id.,"SELECT scp_business_segment, emp_id, COUNT(*) AS app_count, SUM(lim_sum) AS total_lim_sum FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 GROUP BY scp_business_segment, emp_id ORDER BY total_lim_sum DESC NULLS LAST, app_count DESC LIMIT 100;","SELECT scp_business_segment, emp_id, COUNT(*) AS app_count, SUM(lim_sum) AS total_lim_sum FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 GROUP BY scp_business_segment, emp_id ORDER BY total_lim_sum DESC NULLS LAST, app_count DESC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0004,1,Простой SELECT (1 таблица),Топ-20 заявок по lim_sum.,"SELECT id, name__ru, lim_sum, create_date FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 AND create_date >= DATE '2026-01-01' AND create_date < DATE '2027-01-01' ORDER BY lim_sum DESC NULLS LAST, create_date DESC LIMIT 20;","SELECT id, name__ru, lim_sum, create_date FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 AND create_date >= DATE '2026-01-01' AND create_date < DATE '2027-01-01' ORDER BY lim_sum DESC NULLS LAST, create_date DESC LIMIT 20;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0005,1,Простой SELECT (1 таблица),"Покажи заявки application_obj за последние 30 дней по моей компании. Нужен один SQL для сверки портфеля, результат ограничь рабочей выборкой.","SELECT id, name__ru, create_date, status FROM application_obj WHERE initiator_id = $1 AND status = 1 AND create_date >= CURRENT_DATE - INTERVAL '30 days' ORDER BY create_date DESC LIMIT 100;","SELECT id, name__ru, create_date, status FROM application_obj WHERE initiator_id = $1 AND status = 1 AND create_date >= CURRENT_DATE - INTERVAL '30 days' ORDER BY create_date DESC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0006,1,Простой SELECT (1 таблица),"Найди активные corp_tech_application, где emp_id не назначен. Нужен один SQL для разбора обращения клиента, результат ограничь рабочей выборкой.","SELECT id, name__ru, create_date, emp_id FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 AND emp_id IS NULL ORDER BY create_date DESC LIMIT 100;","SELECT id, name__ru, create_date, emp_id FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 AND emp_id IS NULL ORDER BY create_date DESC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0007,1,Простой SELECT (1 таблица),"Отсортируй scp_application по create_date убыванию и name__ru возрастанию. Нужен один SQL для внутренней контрольной выборки, результат ограничь рабочей выборкой.","SELECT id, name__ru, create_date, status FROM scp_application WHERE initiator_id = $1 AND status = 1 ORDER BY create_date DESC, name__ru ASC LIMIT 100;","SELECT id, name__ru, create_date, status FROM scp_application WHERE initiator_id = $1 AND status = 1 ORDER BY create_date DESC, name__ru ASC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0008,1,Простой SELECT (1 таблица),"Покажи emp_id, у которых COUNT активных corp_tech_application больше 5. Нужен один SQL для витрины риска, результат ограничь рабочей выборкой.","SELECT emp_id, COUNT(*) AS app_count FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 GROUP BY emp_id HAVING COUNT(*) > 5 ORDER BY app_count DESC LIMIT 100;","SELECT emp_id, COUNT(*) AS app_count FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 GROUP BY emp_id HAVING COUNT(*) > 5 ORDER BY app_count DESC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0009,1,Простой SELECT (1 таблица),"Собери статистику по портфелю corp_tech_application: COUNT, AVG lim_sum и MAX create_date. Нужен один SQL для квартального отчета, результат ограничь рабочей выборкой.","SELECT COUNT(*) AS app_count, AVG(lim_sum) AS avg_lim_sum, MAX(create_date) AS last_create_date FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 LIMIT 1;","SELECT COUNT(*) AS app_count, AVG(lim_sum) AS avg_lim_sum, MAX(create_date) AS last_create_date FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 LIMIT 1;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
golden_v2_0_tc-0010,1,Простой SELECT (1 таблица),"Покажи активные corp_tech_application по initiator_id 7812. Нужен один SQL для квартального отчета, результат ограничь рабочей выборкой.","SELECT id, name__ru, create_date, status FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 ORDER BY create_date DESC LIMIT 100;","SELECT id, name__ru, create_date, status FROM corp_tech_application WHERE initiator_id = $1 AND status = 1 ORDER BY create_date DESC LIMIT 100;","[""corp_tech_application""]",[],0,ru,golden_dataset_v1_1,false,,migrated_from:baseline_safe_generation
